title,jobdesc,code,matched_title
Production Group Supervisor for second shift,"This full time, permanent Production Group Supervisor opportunity is at a diverse construction, agriculture, and automotive component manufacturer. This employer cares about its employees. This employer has even created part-time employment opportunities for employees near retirement that want or need to cut back on hours worked. The culture is about getting product out the door while still having an enjoyable workplace. The management team is very progressive in relationship to continuous improvement, operations improvement and building operations improvement with a goal of meeting the expectations of customers. The focus is on building strong teams and strong practices. This is an opportunity to get in on the ground floor of structuring and completely changing the culture of a manufacturing operation to embrace continuous improvement as their mantra. The career path could lead to a Production Manager. Duties and responsibilities include the following: Supervising and leading up to 30 people working on multiple, varied production linesWorking with the production group to get the product out the doorTracking production, determining areas for improvement, and implementing actions for production improvementEnforcing company policies and taking action when policies have not been followedExplaining what data was used to determine success Requirements include the following: Four or more years of front-line manufacturing supervisory experienceAbility to work second shiftMaturityThe ability to lead a production teamThe ability to take production numbers and turn them into action plansThe vision for what a supervisor doesThe ability to handle issues / problemsThe ability to take charge and be a leaderPossess a solid work historyBeing a US citizen or green card holderHaving a residence within a 45 minute drive",51-1011.00,Shift Production Supervisor
Personal Fitness Trainer,"Full-Time Personal Trainer Currently studying or already has a BA/BS from an accredited University or College. Exercise/Health related or biological sciences preferred but not necessary. This position will be primarily group classes, small group personal training, and private personal training at our flagship location on Garrett Rd. as well as some corporate locations in the Triangle. Knowlege and use of social media platforms required. Certifications and experience preferred but not required. See ExperienceTheEdge.com for more information regarding the studio and position.",39-9031.00,Personal Fitness Trainer
Registered Nurse RN Central Resource Float Pool,"Job DescriptionDescription SHIFT: Days (rotating weekends)SCHEDULE: Full-timeRegistered Nurse (RN) Central Resource Pool/Float Pool&nbsp;Schedule:&nbsp;Full Time Days, 7a-7p, 36 hours per week with weekend and holiday rotation&nbsp;Are you an experienced&nbsp;Registered Nurse (RN)&nbsp;with at least&nbsp;3 years of acute care&nbsp;experience and like the availability of being able to work on a variety of units? The&nbsp;Central Resource Pool&nbsp;provides lucrative incentives, opportunity to mentor and flexible scheduling to so you can have a positive work/life balance. Were&nbsp;looking for self-driven, conscientious and compassionate nurses to join our Central Resource Pool Team &nbsp;Apply Today!&nbsp;Excellent time management and ability to adapt to change quickly&nbsp;is required.&nbsp;&nbsp;John Randolph Medical Center, your local community hospital, serving Hopewell, Colonial Heights, Petersburg and the surrounding area since 1915. At our 147-bed hospital, you can access the advanced technology and sophisticated treatments typically found in larger urban medical centers.&nbsp;A top performing hospital recognized by the Joint Commission, John Randolph Medical Center has also received recognition from the American Association of Respiratory Care and our emergency room is stroke and chest pain accredited. We remain&nbsp;focused on continuously expanding our services and technology, enabling us to provide quality services to our community. &nbsp;As one of the HCA Virginia hospitals, we deliver the best of both worldshigh-quality, technology-assisted expert care in a warm, welcoming and personalized environment.&nbsp;Healthcare Corporation of America (HCA) is a community of 94,000 Registered Nurses and 38,000 active physicians. We have over 1,900 facilities ranging from hospitals, freestanding ERs, ambulatory surgery centers, and urgent care clinics. Our facility based staff continues to raise the bar in patient care. Ten HCA hospitals have been named in IBM Watson Healths top 100 best-performing hospitals based on patient satisfaction and operational data.&nbsp;&nbsp;HCA&nbsp;63rd&nbsp;on Fortunes 100 ListOne of the&nbsp;largest healthcare systems&nbsp;in the U.S.Ranked by Fortune as a&nbsp;Most Admired Company&nbsp;for 3 consecutive yearsNamed by Ethisphere one of the&nbsp;Worlds Most Ethical Companies&nbsp;for 10 consecutive years&nbsp;Central Resource Pool&nbsp;As a CRP Nurse, you will&nbsp;float&nbsp;throughout the facility to all of the&nbsp;nursing units within your scope of practice, to include some or all of the following:&nbsp;Intensive Care/ICU, Emergency Room (ER)Medical/Surgical, Telemetry, Step-DownBehavioral Health, Outpatient Surgery&nbsp;What will you be doing?&nbsp;Responsible for clinical management of the patient.Functions as a Registered Nurse by role - modeling professional behavior.Functions as a Charge Nurse/Resource Nurse.Assures satisfaction of customers (patients, visitors, physicians and staff)Participates and understands Quality Management activities.Demonstrates effective communication skills.Demonstrates understanding of hospital and departmental policies and procedures.Promotes cost effective unit operations.Documents nursing care utilizing the appropriate tools.&nbsp;Our Central Resource Pool team is a committed, caring group of colleagues. We have a passion for creating positive patient interactions. If you are dedicated to caring for the well-being of others, this could be your next opportunity.&nbsp;We want your knowledge and expertise!&nbsp;&nbsp;QualificationsEducation:&nbsp;Diploma or Associates Degree from a professional nursing program (required)BSN or current enrollment in a BSN program at an accredited school of Nursing (preferred)&nbsp;Licensure/Certifications:Licensed or eligible for licensure in the State of Virginia as a Registered Nurse (required)Basic Life Support (BLS) certification (required)ACLS and PALS certifications required within 6 months of hire or start in positionNonviolent Crisis Intervention certification required within 60 days of hire or start in positionExperience:At least 3 years of acute care nursing experience (required)&nbsp;&nbsp;&nbsp;We value YOU and your future!&nbsp;We are committed to providing our employees with the support they need. At John Randolph Medical Center, we offer an array of medical, dental, and vision packages as well as several add-on perks to make your benefits package truly customizable to you and your family needs. Some of our unique benefits we offer include:Student Loan RepaymentTuition Reimbursement/Assistance ProgramsPaid Personal Leave401k (100% annual match 3% to 9% of pay based on years of service)Identity Theft Protection discountsAuto, Home, and Life Insurance optionsAdoption AssistanceEmployee Stock Purchase Program (ESPP)&nbsp;If you find this opportunity compelling, we encourage you to apply. We promptly review all applications.&nbsp;We are actively interviewing so apply today!&nbsp;&nbsp;&quot;We are an&nbsp;equal opportunity employer&nbsp;and we&nbsp;value diversity&nbsp;at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.&quot;NoticeOur Companys recruiters are here to help unlock the next possibility within your career and we take your candidate experience very seriously. During the recruitment process, no recruiter or employee will request financial or personal information (Social Security Number, credit card or bank information, etc.) from you via email. The recruiters will not email you from a public webmail client like Gmail or Yahoo Mail. If you feel suspicious of a job posting or job-related email, let us know by clicking&nbsp;here.For questions about your job application or this site please contact HCAhrAnswers at 1-844-422-5627 option 1.",29-1141.01,Progressive Care Unit Registered Nurse
Caption Evaluator | American Sign Language Project,"We are looking for Caption Evaluators who’ll watch videos and give us opinions on the captions: How well do they help you follow the content? How accurate are they? How well are they timed to the content of the video? Your answers will help us develop captioning technology that makes the video viewing experience better for both Deaf and hearing viewers. You will evaluate the quality of video captions across a range of short videos on a five-point scale, rating the quality and usefulness of the captions.• Have an ADAP (Appen Data Annotation Platform) account.• Have an Instagram account.• Have access to a desktop browser.• Have a mobile phone that can read QR codes.",25-2051.00,Sign Language Teacher
"Talent Acquisition / Recruiting - Western Regional TA / Recruiter for CO, NE, IA & WI","<p>DH Pace Company, Inc. aspires to hire a <b>relationship-oriented Recruiter / Talent Acquisition Specialist</b> to handle all facets of <b>Regional Recruiting</b> based at our Ankmar office: 1935 Victor Place, Colorado Springs, CO 80915 for the Western Region of the US. Partner with managers to help build our sales, service, warehouse and administrative teams, who in-turn, provide an efficient and favorable experience for our customers. You’ll employ creative sourcing strategies, genuine curiosity, and a focus on a positive candidate experience to bring the best people to our team.</p><p><b>#ColoradoSpringsRecruitingJobs, #ColoradoSpringsRecruiterJobs, #ColoradoSpringsTalentAcquisitionJobs, #ColoradoSpringsTAJobs, #ColoradoSpringsRecruiterJobSearch, #ColoradoSpringsRecruitingJobSearch, #ColoradoSpringsRecruitingCareers, #ColoradoSpringsRecruiterCareers, #ColoradoSpringsTalentAcquisitionCareers, #ColoradoSpringsTACareers, #ColoradoSpringsHRCareers, #ColoradoSpringsJobs, #ColoradoSpringsCareers, #ColoradoSpringsHiring, #ColoradoSpringsJobSearch</b></p><p><b>Position Overview:</b></p> <li>Full-Life cycle recruitment for a variety of positions across various functions and levels</li><li>Partner with hiring managers to develop a deep understanding of their teams’ dynamics and needs; become a trusted advisor</li><li>Maintain a consistent pipeline of talent, including proactively sourcing candidates and managing a high volume of applicants</li><li>Become knowledgeable in DH Pace products, values and goals to develop an effective search strategy and draft targeted messages to potential candidates</li><li>Conduct initial applicant phone/video interviews and serve as applicants’ primary point of contact throughout the process, ensuring a positive experience</li><li>Help develop the DH Pace employer brand by representing the company professionally and with enthusiasm</li> <p><b>Qualifications:</b></p> <li>Career focused Recruiter with a minimum three (3) years’ full-life cycle recruiting and sourcing experience; must be accustom to managing a good number of requisitions and preferably for multiple locations</li><li>Bachelor’s degree preferred</li><li>Must be an excellent communicator, have strong organizational and time management skills and have experience successfully juggling multiple responsibilities</li><li>Will travel up to (5) days/quarter at times to Satellite locations in the region for various recruiting activities and/or to foster relationships with schools, and attend career/job fairs (both virtual and in-person) to conduct interviews; mileage will be reimbursed for all work-related travel</li><li>Must have valid driver’s license and good driving record</li><li>Successful completion of references, employment verifications, background check, and drug screen required in advance of hire</li> <p><b>If Company Stability, Company Growth and Personal Career Fulfillment are Important to You, consider applying for this Regional Recruiter / Talent Acquisition position!</b></p> <li>You Will Make a Difference by identifying and hiring talent</li><li>You will experience the benefit of working with DH Pace Leaders and fellow Recruiting Team Members who will share their knowledge for a smooth transition to our organization</li><li>DH Pace Company is a distribution, construction and service organization offering a complete range of door and door related products and commercial security products. The company is privately owned and has been in operation over 95 years! We have 50 US offices in 24 states with company-wide sales in 2021 of $740M.</li><li>Competitive compensation, corporate wellness program with medical, dental, and vision options, as well as 401k retirement plan, Paid Time Off plan and Company provided cell phone and laptop</li> <p><b>Compensation for this position: From $70K annually based on experience.</b></p><p><b>Google DH Pace Careers and share our Open Jobs with your friends!</b></p><p><b>#ColoradoSpringsRecruitingJobs, #ColoradoSpringsRecruiterJobs, #ColoradoSpringsTalentAcquisitionJobs, #ColoradoSpringsTAJobs, #ColoradoSpringsRecruiterJobSearch, #ColoradoSpringsRecruitingJobSearch, #ColoradoSpringsRecruitingCareers, #ColoradoSpringsRecruiterCareers, #ColoradoSpringsTalentAcquisitionCareers, #ColoradoSpringsTACareers, #ColoradoSpringsHRCareers, #ColoradoSpringsJobs, #ColoradoSpringsCareers, #ColoradoSpringsHiring, #ColoradoSpringsJobSearch </b></p><p>Company: DH Pace Company of Colorado Springs</p>",55-1015.00,Aoc Operations - Time Sensitive \/ Critical Targeting Officer
Telecommute Customer Engagement Services Marketing Coordinator,"A provider of customer engagement services is in need of a Telecommute Customer Engagement Services Marketing Coordinator.Candidates will be responsible for the following: Contributing to in-flight or planned marketing activity as needed to support team membersGenerating and recommending project additions, modifications, and optimizations to improve performanceIdentifying/pursuing professional growth opportunities that expand marketing knowledgeMust meet the following requirements for consideration:Excellent interpersonal skills, and able to adapt to diverse communication/personality stylesAdept at writing, editing, and presenting - in person, via phone, and via virtual meetingsSkilled in coordinating and managing timelines and deliverables across teamsHighly flexible and adaptable to continuous change and growthComfortable working through ambiguity, asking questions, and providing recommendations",43-5061.00,Customer Services Coordinator
Flexible Schedule for Retirement - Drive with Uber,"Why Uber?Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). Weekly incentives will ensure first-time drivers succeed as they learn the ropes.What you need to know:Signup in seconds: Get started today and we’ll provide support along the way.Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay.Flexible schedule: You control when and where you drive.24/7 support: The app gives you turn-by-turn directions, and access 24/7 support if you need help.What you need to get started:21 years old or olderA 4-door vehicleA valid U.S. driver’s license and vehicle insuranceAt least one year of driving experience in the U.S. (3 years if you’re under 23 years old)Health and SafetyUber has introduced new policies and features to help keep everyone safe. All riders and drivers must wear a face cover or mask when using Uber, even when vaccinated. Uber is actively monitoring the coronavirus (COVID-19) situation and are continually working to help keep those who rely on our platform healthy and safe.Additional Information:If you have previous employment experience in transportation (such as a delivery driver, driver, professional driver, driving job, truck driver, heavy and tractor-trailer driver, cdl truck driver, class a or class b driver, local truck driver, company truck driver, taxi driver, taxi chauffeur, cab driver, cab chauffeur, taxi cab driver, transit bus driver, bus driver, coach bus driver, bus operator, shuttle driver, bus chauffeur) you might also consider driving with Uber and earn extra money. We also welcome drivers who have worked with other peer-to-peer ridesharing or driving networks. Drivers using the Uber platform come from all backgrounds and industries ranging from traditional driving and transportation industries to other industries. Driving with Uber is a great way to supplement your part time or full time income.",29-1122.01,Orientation and Mobility Therapist for the Blind
St. Petersburg Life Sciences Instructor,"*St. Petersburg Life Sciences Instructor Jobs*The Varsity Tutors platform has thousands of students looking for online Life Sciences instructors nationally and in St. Petersburg. As an instructor who uses the Varsity Tutors platform, you can earn good money teaching small groups of students, choose your own hours, and truly make a difference in the lives of your students.*Why join our platform?** Enjoy competitive rates and get paid 2x per week.* Choose to tutor as much or as little as you want.* Set your own hours and schedule.* Get paired with students best-suited to your teaching style and preferences (from thousands of potential clients).* Tutor online (i.e. ‚""work remotely"") using our purpose-built Live Learning Platform.* Students can take adaptive assessments through the platform and share results to help you decide where to focus.* We collect payment from the customers, so all you have to do is invoice the session.*What we look for in a instructor:** You have a friendly, approachable personality and foster engagement among students.* You have subject-matter expertise in Life Sciences.* You have excellent presentation skills and work well with groups.*Discover all the ways you can reach students through the online platform:** 1-on-1 Online Tutoring: connect with an individual student for a highly personalized learning experience.* Small Group Classes: meet with small groups (typically 7-9 students) for a more collaborative learning experience.* VT+ Classes: teach groups of 25-30 students anything from math fundamentals to video game design.* Large Live Classes: share your knowledge with hundreds of students at a time.* School@Home: provide support for homeschooling parents with 1-on-1 Online Tutoring and Small Group Classes.* Instant Tutoring: accept subject specific, on-demand tutoring sessions whenever you’d like.*About Varsity Tutors*Our mission is to transform the way people learn. We do this by leveraging advanced technology, AI, and the latest in learning science to facilitate a personalized learning experience. Through small group instruction, instructors meet with groups typically ranging between 7-9 students for a more collaborative learning experience. We believe our thoughtful approach to matching students with the right instructors in a small group setting can improve outcomes, and we look forward to connecting you with students hungry to learn.",25-1042.00,Life Sciences Teacher
Strategic Account Executive (Incr-0082),"Job DescriptionSalary: Lakeside Software is a rapidly growing global leader in workspace analytics. Our goal is to help IT continuously improve end-user productivity by understanding and optimizing the technologies people use to get work done.&nbsp; Our technology provides insight into employee usage patterns to help our customers understand their total IT environment. &nbsp;Lakeside Software is expanding, and the role of Enterprise Strategic Account Executive is critical to continued growth and success. &nbsp;Primary Responsibilities Responsible for selling SysTrack within a specific named account list with key objective being to develop, manage and accurately forecast opportunities Develop a territory plan to meet or exceed assigned revenue quotas Ongoing management of channel and ecosystem partner relationships in the territory; have the ability to articulate the SysTrack value proposition in a way that helps partners bring the value to their end users to increase awareness and potential sales opportunities Manage existing customer relationships to ensure positive use of the SysTrack toolset. Assist in identifying SysTrack use cases and transferring knowledge of the tool to help leverage new sales opportunities Deliver presentations to potential customers through online mediums, user groups, conferences and onsite customer meetingsMinimum Requirements Bachelor&rsquo;s degree or related field experience Must possess good oral and written communication skills Must have an entrepreneurial spirit; this is an opportunity to drive and deliver business in a rapidly growing sales organization that offers unlimited earning potential Experience with VMware, Microsoft and/or Citrix or other work in the IT industry is preferred Proven track record of selling seven figure enterprise software deals Ability to engage at C-Level&nbsp;Employment DetailsHours: Full TimeDepartment: Sales Travel: 25% to 50%Location: Remote &nbsp;Lakeside Software is an Equal Employment Opportunity employer that pursues and hires a diverse workforce. Lakeside does not make hiring or employment decisions on any basis protected by applicable local, state, or federal laws or prohibited by Company policy. &nbsp;&nbsp;&nbsp;",11-2011.00,Account Executive
Geek Squad Consultation Agent,"Geek Squad Consultation AgentAs the first point of contact, Geek Squad Consultation Agents provide knowledgeable technology solutions and support, while maintaining a friendly, efficient check-in and check-out experience for customers requiring product or other technical assistance. They create and maintain a supportive, positive environment for customers by asking the right questions, listening carefully, taking detailed notes and partnering with other team members as needed. Agents display a genuine passion for and strive to resolve consumer electronic challenges.At Best Buy, we are obsessed with building long term relationships with our customers. Every team member should feel empowered to deliver a world-class and unique experience based on what each customer needs.Key Responsibilities Helps drive a positive customer experience by building relationships, exhibiting empathy, and providing solutions for their needs.Providing positive, timely engagements with customers during the check-in and check-out process.Understanding customers technology issues by asking probing questions, listening, asking clarifying questions, taking detailed notes, and providing accurate time estimates for next steps.Monitoring queues and providing accurate status updates to customers.Clearly communicate and partner with team members.Basic Qualifications Experience using and learning about customer electronicsAbility to work successfully as part of a teamAbility to prioritize and multi-task in a fast-paced environmentAbility to work a flexible schedule inclusive of holidays, nights and weekends",41-2031.00,Flying Squad Salesperson
Senior Human Resources Manager (Hybrid) - Immediate Hire,"Job DescriptionWho We AreExcellence Community Schools (ECS) is a Charter Management Organization (CMO) supporting schools in the Bronx, NY and Stamford, CT. Our programs are based on a proven, nationally recognized model, which originated in our flagship school, the Bronx Charter School for Excellence, a 2012 National Blue Ribbon School.Our Mission and VisionOur schools prepare young scholars to compete for admission to and succeed in top public, private, and parochial high schools by cultivating their intellectual, artistic, social, emotional, and ethical development. We accomplish this by offering a challenging and rigorous academic curriculum, which at the earliest of grades has an eye towards college preparation. To achieve this, our schools create a supportive and caring environment that at all times has high expectations of all students. We offer a differentiated, project-based learning environment that seeks to develop high-level analytic and critical thinking skills in all of our students. Our engaging and rigorous approach to educating our scholars is implemented by a collaborative team of teachers.Who We NeedWe are seeking a Senior Human Resources Manager to oversee day-to-day HR operations, which include recruitment, talent development, payroll, employee benefits, employee relations, and systems. The successful candidate will be an experienced, inquisitive, mission-driven HR leader, focused on acquiring and developing the human capital workforce necessary for actualizing our commitment toward achieving prosperity for all the children and families in the Bronx, Stamford, and beyond.They will ensure a high caliber of management of the HR team, including ensuring all team members are delivering high-quality work in their specific areas, talent goals are met, that team culture is strong, and that the organization and its leaders feel increasingly supported.The ideal candidate will possess the combination of technical HR skills, tactful temperament, and the ability to interweave themselves into the day-to-day complexities of an established community-based organization. This position will report to the Chief Financial Officer.Essential Duties and ResponsibilitiesRecruiting and OnboardingOversee all hiring and recruiting practices leading to a shorter time to fill, more successful placements, and better and more effective partnerships with hiring managersOversee and ensure strong onboarding such that most hires, at all levels, are successful and hit the ground runningImprove the talent brand of the organization to increasingly improve the quality of hiresTalent Development and ManagementAssess the strengths and weaknesses of leadership and management in managing effectively and equitably, and co-creating development plans to build skills in these areasOversee the design of structures for how to build management skills in seeking and applying upward feedback at a regular cadence and how we build staff skill and consistency in delivering that feedbackOversee the structures utilized to develop action plans based on employee and leadership feedback, including our performance management programsDevelop practices and programs for building a pipeline of leaders and to support new leaders new to management rolesEmployee Relations and CultureServe as a trusted advisor to team members on matters related to management, culture, equity, or other issues related to their success at workUse solid judgment when handling urgent employee relations issues in alignment with organizational valuesCoach and develop staff members to ensure the quality of advice is sound, equitable, and mitigates risk while holding a high bar for employeesTrack trend-lines and use them to advise senior leaders and managers on development opportunities, organizational risks, persistent challenges, and opportunities to grow their team SystemsWork closely with the Director of Technology to make HR data more relevant, transparent, and actionable for senior leadersAssist with the further build-out of manager self-service tools, with the aim of helping managers take greater control of their people operations practices and dataEnsure systems are set up and designed appropriately to fit the organizational needsBenefits and PayrollWork closely with the HR Generalist and the Payroll Manager to support the payroll process for all employeesReview payroll processing systems to ensure timely and accurate processing of payroll transactions including salaries, benefits, garnishments, taxes, and other deductions. Ensures accurate and timely processing of payroll updates including new hires, terminations, and changes to pay rates.Conduct audits of payroll accounts to confirm the accuracy and reconcile any payroll discrepancies. Facilitate all aspects of benefits administration including working with brokers to find affordable plans and ensuring ACA and COBRA compliance.Act as the company expert in all benefit plan designs and annual renewals Ensure all compliance and reporting requirements are met timelyRequirementsBachelors degree with several years of experience managing and leading HR teams in non-profit organizations (above 100 employees); deep experience in two or more of the following areas: recruiting/hiring, performance management, developing talent, DEI, Payroll/HRIS, employee relations, and HR ops/compliance experience; Masters degree preferredDemonstrated ability to lead complex and diverse teams to achieve ambitious resultsStrong consultative and coaching skills and ability to effectively navigate matrixes organizational hierarchiesExtraordinary emotional intelligence and interpersonal skills - up, down, across, and externallyOutstanding communication skills, both oral and writtenExceptional presentation skills with the ability to adapt to various audiencesAbility to build relationships and mentorship with staff; facilitate productive working relationships between managementStrong project management skills with the ability to administer multiple projects simultaneously and prioritize workloadProficiency in Microsoft Office Suite (Word, Excel, PowerPoint) and OutlookBenefitsWe offer competitive salaries, performance-based bonuses, and a comprehensive benefits package.",11-3121.00,Human Resources Operations Manager
CLASS A CDL DRIVER | NO TOUCH | NASHVILLE TN,"Regional Runs | Home Daily | $5,000 Sign On Bonus Call us at 678-496-2648 today! WE OFFER: Average $1,250 - $1,500 Per Week Morning and Evening Shifts Available. Local Deliveries Voluntary Medical, Dental, and Life Insurance! WE REQUIRE: Valid and current Class A CDL Must be 21 years of age Ability to drive automatic transmission Must have 12 months of verifiable tractor-trailer driving experience. Ability to meet all DOT requirements Ability to repeatedly lift, pull, push, and carry product weighing up to 50 pounds CPC Logistics is currently hiring full-time Class A CDL Drivers in the Nashville TN area to make regional deliveries. This is a no touch freight position The Best Drivers on the Road Drive CPC",53-3032.00,Class A Commercial Drivers License Truck Driver (Class A CDL Truck Driver)
Licensed Practical Nurse (LPN),"Licensed Practical Nurse (LPN) ALL SHIFTS AVAILABLE We are offering a $4,000 Sign-On BONUS (Full-Time employees ONLY, paid incrementally, subject to good attendance of scheduled shifts)  About Us: We are a culturally driven Skilled Nursing Facility that strives to put our employees first We enjoy celebrating our accomplishments on a regular basis and encourage growth We value innovation and creativity. We are looking for someone with passion. Does this sounds like you? If yes, then we want you to join our amazing team, while helping you grow and develop Located in the heart of Kansas City, KS, we are proud to be an employer of choice Are you our next team member? The Perks: Fun, family atmosphere & working environment Competitive Wages Opportunity to make a difference in resident lives Medical, Dental, Vision, Life and Disability insurance 401(k) with matching contributions Paid Time Off Growth, Development and Career Advancement opportunities Ongoing Leadership Training Employee Discount Program (cell phone, hotels, movies, theme parks, etc.) Job Responsibilities: Meet the nursing and rehabilitation needs of each resident. Provide superior care for residents. Complete resident assignments effectively and promptly. Observe changes in resident conditions and promptly report them. Document accurately and completely. Requirements : Current Kansas LPN license Apply Today Riverbend Post Acute Rehabilitation 7850 Freeman Avenue Kansas City, KS 66112 http://riverbendkansascity.com/ Back to Jobs",29-2061.00,Licensed Practical Nurse (LPN)
"Store Manager Candidate, Automotive","The ideal candidate for this position has the experience, aptitude and desire to be a store manager in Automotive Service within 6-8 months of hire. The needed results must be demonstrated and leadership skills are paramount to your success...being a Store Manager of Retail automotive service in today's world is a challenge! We look forward to helping you achieve your goals.NOTE: This position starts as an hourly role and has the potential be become a salary role. Bonus may be available to start based on experience and open positions--but the Store Manager role has a lucrative bonus program attached.COMPANY OVERVIEWNations largest automotive repair company with locations across North America and more than $3 billion in tire and auto service sales, we are the right place to build a career. We start by offering each teammate more than just competitive pay. We provide formal training, performance incentives, paid vacation and holidays, competitive healthcare packages for full-time and part-time employees, and a 401k plan to help build towards your future.JOB DESCRIPTIONThe Store and Service Manager positions are the heart and soul of what we do! They interact with the customers and the team to coordinate auto repairs and provide great customer service. The service manager position is designed as a stepping stone to a Store Manager and helps to develop candidates with the skill and motivation for the next step in their career.POSITION SUMMARYResponsible for every aspect of the store operation, which includes: selecting, coaching and developing store teammates as well as merchandising, advertising and promotion of products and services.RESPONSIBILITIESCustomer serviceDrive store Sales & promotionsBuild Customer Satisfaction & LoyaltyCreating Results for Teammates, Customers and the CompanyUnderstand alternative tire sourcing and competitorsPayroll, budgets and store goalsResponsible for record keeping and relevant financial informationManage, schedule and assign staff according to their skill levelAttend paid training to stay up-to-date with new developments in the automotive service industryFollow up with customers to obtain feedback and ensure they are satisfied with receivedOther duties as assignedJob Type: Full-timePay: $20.00 - $25.00 per hourBenefits:401(k)401(k) matchingDental insuranceEmployee assistance programEmployee discountFlexible scheduleFlexible spending accountHealth insuranceHealth savings accountLife insurancePaid time offProfessional development assistanceReferral programTuition reimbursementVision insuranceSchedule:10 hour shiftOvertimeWeekend availabilitySupplemental Pay:Bonus payCommission payLicense/Certification:Driver's License (Required)Work Location: One location",11-1021.00,Store Manager
Vice President Health,"The RoleThe VP Healthcare will join a dynamic Healthcare & Pharmaceutical team, which is PorterNovelli’slargest practice globally. Thisparticularpositionwilllead large pharmaceutical communications programs with pre-approval, approval and post approvalHCP andconsumer outreachand strong understanding of data. Rare disease experience, diabetes, oncology, and CNSexperience would be ideal, but more necessary is a passion for the healthcare space.As a VP on our team you will be provided with a clearly articulated and well-supported path for career growth.Growthmay include working with our other leading pharma clients across a variety of therapeutic categoriesas well as more health policy. The work is an interesting blend of product, corporate, advocacy and issues management. What You Will Be Doing Developing strong client relationships by providing strategic counsel, building and leading solid account teams, mentoring, motivating, growing and retaining employees and managing accounts to consistently achieve business objectives.Demonstrating independence and autonomy with respect to their responsibilities and must exhibit a deep understanding of the clients, their industry, the account and the agency.Participating in new business development, company-wide initiatives, and managing finances and resources profitably. The Experience That Will Contribute To Your Success Complete comfort and facility understanding data, the regulatory process, the barriers to successWell-developed knowledge of the healthcare marketplaceand business practicesCurrent knowledge of the challenges facing the pharma industry in generalA passion for ideas and moving pharma clients forward into new avenues of thinkingKnow-how to develop and execute integrated communications strategies and programsincluding digital and socialLeadership and management of relationships with multiple internal and external clientsDirect responsibility for organic account growth, and participated in pitching and securing new businessRelevant level of expertise in general business acumen, budget management, communications, leadership and mentoring skillsAbout 10 years public relations experience with relevant healthcare agency experience or equivalentPreferred experience in science related health care public relations accounts including pharmaceutical and direct-to-consumer product marketing, advocacy, program development and execution, social marketing and media relations",11-1011.00,Finance Vice President
